ID,X_happiness,X_gender,T_raw,Y_raw,T,Y,uplift_score,segment
173179104,9,2,1,1,0,1,-0.5534077678822292,안심군 (Sure Things)
173179105,8,2,1,1,0,1,-0.6400773413346114,안심군 (Sure Things)
173179201,8,2,2,2,0,1,-0.6400773413346114,안심군 (Sure Things)
173179202,8,2,2,2,0,1,-0.6400773413346114,안심군 (Sure Things)
173179203,7,2,1,1,0,1,-0.6628561166735585,안심군 (Sure Things)
173179204,8,1,2,2,0,1,-0.464697200276516,안심군 (Sure Things)
173179302,6,2,2,2,0,1,-0.6388529916885708,안심군 (Sure Things)
173179304,6,2,2,2,0,1,-0.6388529916885708,안심군 (Sure Things)
173179305,11,1,1,1,0,1,-0.508800810868942,안심군 (Sure Things)
173179401,9,2,2,2,0,1,-0.5534077678822292,안심군 (Sure Things)
173179403,7,2,3,1,0,1,-0.6628561166735585,안심군 (Sure Things)
173179404,4,2,2,2,0,1,-0.6495640458113877,안심군 (Sure Things)
173179405,10,2,2,2,0,1,-0.4373689938914715,설득가능군 (Persuadables)
173179502,10,2,3,2,0,1,-0.4373689938914715,설득가능군 (Persuadables)
173179503,6,2,1,2,0,1,-0.6388529916885708,안심군 (Sure Things)
173179504,11,2,2,1,0,1,-0.5089268587987681,안심군 (Sure Things)
173180102,8,1,4,4,1,0,-0.464697200276516,철벽군 (Lost Causes)
173180201,9,1,1,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
173180203,4,2,3,2,0,1,-0.6495640458113877,안심군 (Sure Things)
173180204,7,1,2,1,0,1,-0.6110632678608602,안심군 (Sure Things)
173180302,11,1,2,2,0,1,-0.508800810868942,안심군 (Sure Things)
173180303,8,2,3,3,0,1,-0.6400773413346114,안심군 (Sure Things)
173180304,6,2,3,2,0,1,-0.6388529916885708,안심군 (Sure Things)
173180305,8,1,1,1,0,1,-0.464697200276516,안심군 (Sure Things)
173180401,10,2,2,2,0,1,-0.4373689938914715,설득가능군 (Persuadables)
173180402,9,2,1,1,0,1,-0.5534077678822292,안심군 (Sure Things)
173180403,9,2,3,2,0,1,-0.5534077678822292,안심군 (Sure Things)
173180404,7,2,3,3,0,1,-0.6628561166735585,안심군 (Sure Things)
173180405,9,2,3,3,0,1,-0.5534077678822292,안심군 (Sure Things)
173180501,11,2,4,3,1,1,-0.5089268587987681,기타관리군
173180502,5,1,1,2,0,1,-0.32328536928091867,설득가능군 (Persuadables)
173180504,9,2,2,2,0,1,-0.5534077678822292,안심군 (Sure Things)
173180505,6,2,3,2,0,1,-0.6388529916885708,안심군 (Sure Things)
173181101,7,2,3,2,0,1,-0.6628561166735585,안심군 (Sure Things)
173181102,10,2,2,2,0,1,-0.4373689938914715,설득가능군 (Persuadables)
173181103,5,2,3,2,0,1,-0.6966991843583654,안심군 (Sure Things)
173181104,5,2,2,1,0,1,-0.6966991843583654,안심군 (Sure Things)
173181105,6,2,2,2,0,1,-0.6388529916885708,안심군 (Sure Things)
173181201,8,2,1,1,0,1,-0.6400773413346114,안심군 (Sure Things)
173181203,4,1,1,1,0,1,-0.43171188020525564,설득가능군 (Persuadables)
173181204,9,2,3,3,0,1,-0.5534077678822292,안심군 (Sure Things)
173181205,10,2,3,2,0,1,-0.4373689938914715,설득가능군 (Persuadables)
173181206,10,2,2,2,0,1,-0.4373689938914715,설득가능군 (Persuadables)
173181301,5,2,2,2,0,1,-0.6966991843583654,안심군 (Sure Things)
173181303,8,2,2,1,0,1,-0.6400773413346114,안심군 (Sure Things)
173181304,3,2,3,3,0,1,-0.5700283289896435,안심군 (Sure Things)
173181305,11,2,2,2,0,1,-0.5089268587987681,안심군 (Sure Things)
173181306,6,2,1,1,0,1,-0.6388529916885708,안심군 (Sure Things)
173181401,10,1,1,1,0,1,-0.8427932361731887,안심군 (Sure Things)
173181402,5,1,4,1,1,1,-0.32328536928091867,기타관리군
173181404,9,1,2,2,0,1,-0.4539504033874678,설득가능군 (Persuadables)
173181405,6,1,2,1,0,1,-0.49238047852082173,안심군 (Sure Things)
173181406,5,1,2,1,0,1,-0.32328536928091867,설득가능군 (Persuadables)
173181407,8,1,2,2,0,1,-0.464697200276516,안심군 (Sure Things)
178182101,7,1,1,1,0,1,-0.6110632678608602,안심군 (Sure Things)
178182102,9,1,1,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178182103,10,1,1,1,0,1,-0.8427932361731887,안심군 (Sure Things)
178182104,10,1,1,1,0,1,-0.8427932361731887,안심군 (Sure Things)
178182105,9,1,1,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178182106,8,1,2,2,0,1,-0.464697200276516,안심군 (Sure Things)
178182201,8,1,2,2,0,1,-0.464697200276516,안심군 (Sure Things)
178182202,7,1,2,2,0,1,-0.6110632678608602,안심군 (Sure Things)
178182203,9,1,1,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178182204,5,1,1,1,0,1,-0.32328536928091867,설득가능군 (Persuadables)
178182205,7,1,2,2,0,1,-0.6110632678608602,안심군 (Sure Things)
178182206,9,1,2,2,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178182301,9,1,2,2,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178182302,9,1,2,2,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178182303,10,1,2,2,0,1,-0.8427932361731887,안심군 (Sure Things)
178182304,11,1,1,1,0,1,-0.508800810868942,안심군 (Sure Things)
178182306,8,1,1,1,0,1,-0.464697200276516,안심군 (Sure Things)
178182401,9,1,1,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178182402,11,1,2,2,0,1,-0.508800810868942,안심군 (Sure Things)
178182403,9,1,2,2,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178182404,9,1,2,2,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178182405,10,1,2,2,0,1,-0.8427932361731887,안심군 (Sure Things)
178182406,8,1,2,2,0,1,-0.464697200276516,안심군 (Sure Things)
178182501,5,1,1,1,0,1,-0.32328536928091867,설득가능군 (Persuadables)
178182502,9,1,2,2,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178182503,9,1,1,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178182504,8,1,1,1,0,1,-0.464697200276516,안심군 (Sure Things)
178182505,7,1,1,2,0,1,-0.6110632678608602,안심군 (Sure Things)
178182506,8,1,2,2,0,1,-0.464697200276516,안심군 (Sure Things)
178183101,6,2,1,1,0,1,-0.6388529916885708,안심군 (Sure Things)
178183102,7,1,2,2,0,1,-0.6110632678608602,안심군 (Sure Things)
178183103,8,1,2,2,0,1,-0.464697200276516,안심군 (Sure Things)
178183104,6,1,3,2,0,1,-0.49238047852082173,안심군 (Sure Things)
178183105,9,1,1,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178183106,8,1,2,1,0,1,-0.464697200276516,안심군 (Sure Things)
178183201,9,1,1,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178183202,8,1,1,1,0,1,-0.464697200276516,안심군 (Sure Things)
178183203,10,1,2,1,0,1,-0.8427932361731887,안심군 (Sure Things)
178183204,9,1,1,3,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178183205,8,2,3,3,0,1,-0.6400773413346114,안심군 (Sure Things)
178183206,10,1,2,1,0,1,-0.8427932361731887,안심군 (Sure Things)
178183301,9,1,1,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178183302,11,1,1,1,0,1,-0.508800810868942,안심군 (Sure Things)
178183303,7,1,1,1,0,1,-0.6110632678608602,안심군 (Sure Things)
178183304,8,1,1,1,0,1,-0.464697200276516,안심군 (Sure Things)
178183305,8,2,1,1,0,1,-0.6400773413346114,안심군 (Sure Things)
178183401,9,1,2,2,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178183402,8,1,2,2,0,1,-0.464697200276516,안심군 (Sure Things)
178183403,9,1,1,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178183404,7,1,1,1,0,1,-0.6110632678608602,안심군 (Sure Things)
178183405,11,1,1,2,0,1,-0.508800810868942,안심군 (Sure Things)
178183406,9,1,1,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178183501,7,2,1,1,0,1,-0.6628561166735585,안심군 (Sure Things)
178183502,4,1,3,1,0,1,-0.43171188020525564,설득가능군 (Persuadables)
178183503,5,1,1,1,0,1,-0.32328536928091867,설득가능군 (Persuadables)
178183504,9,1,1,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
