ID,X_happiness,X_gender,T_raw,Y_raw,T,Y
111026305,7,2,2,3,0,1
111026401,11,1,1,2,0,1
111026402,10,1,2,2,0,1
111026403,10,2,1,1,0,1
111026405,8,2,3,3,0,1
111026501,9,1,4,4,1,0
111026502,8,2,3,3,0,1
111026503,8,2,1,2,0,1
111026504,9,2,1,2,0,1
111026505,9,1,2,2,0,1
111027101,6,2,3,2,0,1
111027102,8,2,2,2,0,1
111027103,7,2,3,3,0,1
111027104,7,2,4,4,1,0
111027105,8,2,4,4,1,0
111027201,10,2,3,4,0,0
111027204,9,2,4,4,1,0
111027205,5,2,4,4,1,0
111027301,7,2,2,2,0,1
111027302,6,2,3,2,0,1
111027303,6,2,1,2,0,1
111027304,7,2,3,2,0,1
111027305,9,2,3,2,0,1
111027401,10,2,4,4,1,0
111027402,8,2,2,3,0,1
111027403,5,2,2,2,0,1
111027502,5,2,4,4,1,0
111027504,11,2,2,2,0,1
111027505,6,2,4,4,1,0
111028101,9,1,3,3,0,1
111028102,9,1,3,3,0,1
111028103,8,1,2,3,0,1
111028104,8,1,2,1,0,1
111028105,8,1,1,1,0,1
111028201,6,1,3,2,0,1
111028202,6,1,3,3,0,1
111028203,11,1,2,2,0,1
111028204,6,1,2,2,0,1
111028205,6,1,2,2,0,1
111028302,7,1,3,2,0,1
111028303,6,1,3,2,0,1
111028304,9,1,1,1,0,1
111028305,11,1,2,2,0,1
111028401,9,1,2,2,0,1
111028402,10,1,4,4,1,0
111028404,5,1,1,1,0,1
111028405,9,1,2,3,0,1
111028502,11,1,1,1,0,1
111028503,9,1,2,2,0,1
111028504,10,1,2,3,0,1
111028505,9,1,2,2,0,1
111029101,5,2,3,2,0,1
111029102,4,2,3,2,0,1
111029103,8,2,3,3,0,1
111029104,10,2,2,2,0,1
111029105,7,2,4,2,1,1
111029201,8,2,3,3,0,1
111029202,10,2,3,3,0,1
111029203,11,2,2,2,0,1
111029204,9,2,2,1,0,1
111029205,7,2,1,1,0,1
111029301,9,2,3,3,0,1
111029302,7,2,3,2,0,1
111029303,8,2,3,4,0,0
111029304,8,2,2,2,0,1
111029305,8,2,3,3,0,1
111029401,7,1,2,2,0,1
111029402,8,1,3,4,0,0
111029403,7,1,3,3,0,1
111029404,5,1,2,4,0,0
111029405,7,1,4,4,1,0
111029501,10,1,3,3,0,1
111029503,8,1,2,1,0,1
111029504,8,1,1,1,0,1
111029505,9,1,2,2,0,1
111030101,10,1,4,4,1,0
111030102,7,1,4,4,1,0
111030103,11,1,2,2,0,1
111030105,10,1,4,4,1,0
111030106,10,1,2,2,0,1
111030203,7,1,4,4,1,0
111030204,9,1,2,1,0,1
111030205,9,1,2,2,0,1
111030301,10,1,3,3,0,1
111030302,8,1,4,3,1,1
111030303,8,1,3,3,0,1
111030304,8,1,2,2,0,1
111030402,9,1,1,1,0,1
111030403,9,1,4,4,1,0
111030404,9,1,3,3,0,1
111030501,5,1,2,2,0,1
111030502,8,1,1,1,0,1
111030505,11,1,3,3,0,1
111031101,6,2,3,3,0,1
